Gymnastics Uneven Bars;feminino;USA;ouro;MILLER Zoe
Gymnastics Uneven Bars;feminino;BRA;prata;ANDRADE Rebeca
Gymnastics Uneven Bars;feminino;BRA;bronze;SARAIVA Flavia
Gymnastics Vault;feminino;BRA;ouro;ANDRADE Rebeca
Gymnastics Vault;feminino;USA;prata;CHILES Jordan
Gymnastics Vault;feminino;MEX;bronze;ESCALERA Natalia
Gymnastics Team;feminino;USA;ouro;Time USA
Gymnastics Team;feminino;BRA;prata;Time BRA
Gymnastics Team;feminino;CAN;bronze;Time CAN
Skateboarding Park;masculino;USA;ouro;NYE Taylor Robert
Skateboarding Park;masculino;BRA;prata;TAKAHASHI DOS SANTOS Augusto Akio
Skateboarding Park;masculino;PUR;bronze;PINEIRO Steven Yancy
Skateboarding Street;masculino;BRA;ouro;RABELO NOBRE SOARES Lucas
Skateboarding Street;masculino;PER;prata;CARO NARVAEZ Angelo Giovanni
Skateboarding Street;masculino;COL;bronze;GONZÁLEZ ORTIZ Luis Jhancarlos
Skateboarding Park;feminino;CAN;ouro;EBERT Fay De Fazio
Skateboarding Park;feminino;BRA;prata;VENTURA DE OLIVEIRA Raicca
Skateboarding Park;feminino;USA;bronze;WETTSTEIN Bryce Ava
Skateboarding Street;feminino;BRA;ouro;MENDES LEAL Jhulia Rayssa
Skateboarding Street;feminino;BRA;prata;LEITE ROSA Pamela
Skateboarding Street;feminino;USA;bronze;HEYN Paige Genevieve
Swimming 100m Backstroke;masculino;USA;ouro;CHANEY Adam
Swimming 100m Backstroke;masculino;ARG;prata;SARAVIA Ulises
Swimming 100m Backstroke;masculino;CAN;bronze;TIERNEY Blake
Swimming 100m Butterfly;masculino;USA;ouro;MILLER Lukas Davin
Swimming 100m Butterfly;masculino;masculino;BRA;prata;LANZA Vinicius
Swimming 100m Butterfly;masculino;USA;bronze;BUSTOS Arsenio
Swimming 100m Breaststroke;masculino;USA;ouro;FOSTER Jacob
Swimming 100m Breaststroke;masculino;USA;prata;NICHOLS Noah
Swimming 100m Breaststroke;masculino;MEX;bronze;DE LARA OJEDA Miguel
Swimming 100m Freestyle;masculino;BRA;ouro;SANTOS Guilherme
Swimming 100m Freestyle;masculino;USA;prata;CURRY Brooks
Swimming 100m Freestyle;masculino;USA;bronze;KULOW Jonathan
Swimming 1500m Freestyle;masculino;BRA;ouro;COSTA Guilherme
Swimming 1500m Freestyle;masculino;USA;prata;GALLANT John William
Swimming 1500m Freestyle;masculino;VEN;bronze;MESTRE Alfonso
Swimming 200m Backstroke;masculino;USA;ouro;AIKINS Jack
Swimming 200m Backstroke;masculino;USA;prata;GRUM Ian
Swimming 200m Backstroke;masculino;CAN;bronze;MCNEILL Hugh
Swimming 200m Butterfly;masculino;USA;ouro;LAUR Mason
Swimming 200m Butterfly;masculino;BRA;prata;GOMES DE DEUS Leonardo
Swimming 200m Butterfly;masculino;USA;bronze;DAHLGREN Jack
Swimming 200m Breaststroke;masculino;USA;ouro;FOSTER Jacob
Swimming 200m Breaststroke;masculino;CAN;prata;TAIVASSALO Brayden
Swimming 200m Breaststroke;masculino;MEX;bronze;PUENTE BUSTAMANTE Andres
Swimming 200m Freestyle;masculino;USA;ouro;CARROZZA Coby
Swimming 200m Freestyle;masculino;MEX;prata;IGA Jorge
Swimming 200m Freestyle;masculino;BRA;bronze;SETIN SARTORI Murilo
Swimming 200m Individual Medley;masculino;CAN;ouro;KNOX Finlay
